MPN,Manufacturer Name, UPC, Product Name, Product Description, Product Price, Product URL, Image URL, Dealtime.co.uk Categorisation, Stock Availability, Stock Description, Standard Shipping, Weight
1038,CUSTOM DIVERS,426576,TDB WINGS,Designed and developed by Custom Divers the TDB has taken the 039de facto039 standard steel plate harness and wing configuration and enhanced it beyond other manufacturer039s offerings,399.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/custom-divers/product/tdb-wings/426576,http://192.168.1.125/deepblue08uploadImages/small/product426576image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1083,SUUNTO,426577,Suunto Cobra 3 Computer,Quick Disconnect  with Cobra 3 you can get more enjoyment out of your diving,599.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-cobra-3-computer/426577,http://192.168.1.125/deepblue08uploadImages/small/product426577image2.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1083,SUUNTO,426578,Suunto Dive Manager Serial Vytec Vyper Cobra Mosquito,A serial-port version of Suunto dive manager for the Vytec Vyper Cobra and Mosquito computers,35.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-dive-manager-serial-vytec-vyper-cobra-mosquito/426578,http://192.168.1.125/deepblue08uploadImages/small/product426578image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,300
1083,SUUNTO,426579,Suunto Dive Manager Stinger,The Suunto diving PC-software Suunto Dive Manager and Suunto Dive Log are superior tools for recording organizing and retrieving dive information,35.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-dive-manager-stinger/426579,http://192.168.1.125/deepblue08uploadImages/small/product426579image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,300
1083,SUUNTO,426580,Suunto Oxygen Analyser,Simplicity at its best - an oxygen analyser designed especially for diving,165.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-oxygen-analyser/426580,http://192.168.1.125/deepblue08uploadImages/small/product426580image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1083,SUUNTO,426581,Suunto Oxygen Sensor,Oxygen sensor to fit Suunto Oxyspy,49.95,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-oxygen-sensor/426581,http://192.168.1.125/deepblue08uploadImages/small/product426581image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,50
1083,SUUNTO,426582,Suunto Stinger Rubber Strap,Suuntos new flagship Stinger is a full decompression dive computer and beautifully constructed compact-size watch in one rock-solid package,325.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-stinger-rubber-strap/426582,http://192.168.1.125/deepblue08uploadImages/small/product426582image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1083,SUUNTO,426583,Suunto Vyper Computer,The Vyper features full decompression capabilities and combines several technological innovations into one product,211.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-vyper-computer/426583,http://192.168.1.125/deepblue08uploadImages/small/product426583image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,330
1083,SUUNTO,426584,Suunto Vytec DS Computer,Increase your decompression options with the advanced gas-switching Suunto Vytec DS,359.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-vytec-ds-computer/426584,http://192.168.1.125/deepblue08uploadImages/small/product426584image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,350
1083,SUUNTO,426585,Suunto Vytec DS Computer  Wireless Transmitter,The Suunto Vytec is a versatile full decompression computer for the advanced diver,588.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-vytec-ds-computer-wireless-transmitter/426585,http://192.168.1.125/deepblue08uploadImages/small/product426585image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,500
1087,UWATEC,426586,Aladin Depth Timer,The Uwatec Digital gauge is a very practical instrument that incorporates state-of-the-art micro-chip technology at an extremely affordable price,115.00,http://192.168.1.125/deepblue08/dive/department/computers/uwatec/product/aladin-depth-timer/426586,http://192.168.1.125/deepblue08uploadImages/small/product426586image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,270
1087,UWATEC,426587,Aladin Data Track,Datatrak is the windows based communication software and hardware compatible with many UWATEC dive computers,119.00,http://192.168.1.125/deepblue08/dive/department/computers/uwatec/product/aladin-data-track/426587,http://192.168.1.125/deepblue08uploadImages/small/product426587image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,420
1087,UWATEC,426588,Smart Infa Red ReceiverDongle Key,Infrared receiver for exchanging dive information to your PC,41.00,http://192.168.1.125/deepblue08/dive/department/computers/uwatec/product/smart-infa-red-receiver-dongle-key/426588,http://192.168.1.125/deepblue08uploadImages/small/product426588image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,150
1088,VR3,426589,VR3 Open Circuit Air  Nitrox Computer C1,The NEW VR3 mixed gas computer available now offers the same functionality as the older VR3 but at a lower price and with additional features,730.00,http://192.168.1.125/deepblue08/dive/department/computers/vr3/product/vr3-open-circuit-air-and-nitrox-computer-c1/426589,http://192.168.1.125/deepblue08uploadImages/small/product426589image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1088,VR3,426590,VR3 Open and Closed Circuit Nitrox Computer C2,The NEW VR3 mixed gas computer available now offers the same functionality as the older VR3,780.00,http://192.168.1.125/deepblue08/dive/department/computers/vr3/product/vr3-open-and-closed-circuit-nitrox-computer-c2/426590,http://192.168.1.125/deepblue08uploadImages/small/product426590image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1088,VR3,426591,VR3 Open Circuit Trimix Computer C3,The NEW VR3 mixed gas computer available now offers the same functionality as the older VR3 but at a lower price and with additional features,830.00,http://192.168.1.125/deepblue08/dive/department/computers/vr3/product/vr3-open-circuit-trimix-computer-c3/426591,http://192.168.1.125/deepblue08uploadImages/small/product426591image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1088,VR3,426592,VR3 Open and Closed Circuit Trimix Computer C4,,880.00,http://192.168.1.125/deepblue08/dive/department/computers/vr3/product/vr3-open-and-closed-circuit-trimix-computer-c4/426592,http://192.168.1.125/deepblue08uploadImages/small/product426592image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1072,POSEIDON,426593,Poseidon Cyclon Regulator Din,This regulator beats most other regulators on the market with some considerable ease,275.00,http://192.168.1.125/deepblue08/dive/department/regulators/poseidon/product/poseidon-cyclon-regulator-din/426593,http://192.168.1.125/deepblue08uploadImages/small/product426593image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1072,POSEIDON,426594,Poseidon Cyclon Metal Regulator Din,The first scuba diving regulator in the world with only one hose and the demand valve situated at the mouth,299.00,http://192.168.1.125/deepblue08/dive/department/regulators/poseidon/product/poseidon-cyclon-metal-regulator-din/426594,http://192.168.1.125/deepblue08uploadImages/small/product426594image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1072,POSEIDON,426596,Poseidon Jetstream Regulator Din,The Poseidon Jetstreams construction039s simplicity guarantees high performance,275.00,http://192.168.1.125/deepblue08/dive/department/regulators/poseidon/product/poseidon-jetstream-regulator-din/426596,http://192.168.1.125/deepblue08uploadImages/small/product426596image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
